Date,close
2020-01-02,8.890687942504883
2020-01-03,8.645916938781738
2020-01-06,8.3695650100708
2020-01-07,8.36166763305664
2020-01-08,8.748562812805176
2020-01-09,9.427602767944336
2020-01-10,9.43549919128418
2020-01-13,9.632894515991211
2020-01-14,9.632894515991211
2020-01-15,9.58552074432373
2020-01-16,9.656582832336426
2020-01-17,9.609206199645996
2020-01-20,9.656582832336426
2020-01-21,9.85397720336914
2020-01-22,9.656582832336426
2020-01-23,9.561832427978516
2020-01-24,9.467081069946289
2020-01-27,9.293375015258789
2020-01-28,9.30126953125
2020-01-29,9.348645210266113
2020-01-30,9.553936958312988
2020-01-31,9.451292037963867
2020-02-03,9.332853317260742
2020-02-04,9.696061134338379
2020-02-05,9.790811538696289
2020-02-06,9.696061134338379
2020-02-07,9.459185600280762
2020-02-10,9.25389575958252
2020-02-11,9.427602767944336
2020-02-12,9.269685745239258
2020-02-13,9.214414596557617
2020-02-14,9.095979690551758
2020-02-17,9.269685745239258
2020-02-18,9.143353462219238
2020-02-19,9.024916648864746
2020-02-20,8.748562812805176
2020-02-21,8.740667343139648
2020-02-24,8.472209930419922
2020-02-25,8.456417083740234
2020-02-26,8.409042358398438
2020-02-27,8.085314750671387
2020-02-28,7.532607555389404
2020-03-02,7.56419038772583
2020-03-03,7.895813465118408
2020-03-04,8.187959671020508
2020-03-05,8.164273262023926
2020-03-06,7.887918949127197
2020-03-09,7.295733451843262
2020-03-10,7.374691486358643
2020-03-11,7.374691486358643
2020-03-12,6.900941848754883
2020-03-13,7.129920959472656
2020-03-16,6.466671943664551
2020-03-17,6.54563045501709
2020-03-18,6.379818916320801
2020-03-19,5.977132320404053
2020-03-20,5.890277862548828
2020-03-23,5.463903903961182
2020-03-24,5.98502779006958
2020-03-25,5.921861171722412
2020-03-26,6.277173042297363
2020-03-27,6.214006423950195
2020-03-30,6.332444190979004
2020-03-31,6.450881004333496
2020-04-01,6.16663122177124
2020-04-02,5.969236373901367
2020-04-03,5.953444480895996
2020-04-06,6.119256973266602
2020-04-07,6.174527645111084
2020-04-08,6.214006423950195
2020-04-09,6.671963214874268
2020-04-10,6.814089298248291
2020-04-13,6.703546524047852
2020-04-14,6.782505989074707
2020-04-15,6.50615119934082
2020-04-16,6.521943092346191
2020-04-17,6.624589443206787
2020-04-20,6.624589443206787
2020-04-21,6.458776950836182
