Date,close
2020-01-02,6.364633560180664
2020-01-03,6.193457126617432
2020-01-06,5.998939037322998
2020-01-07,6.061185359954834
2020-01-08,6.193457126617432
2020-01-09,6.621397495269775
2020-01-10,6.7458882331848145
2020-01-13,6.808135032653809
2020-01-14,6.885942459106445
2020-01-15,6.87037992477417
2020-01-16,6.8470377922058105
2020-01-17,6.854819297790527
2020-01-20,6.917064666748047
2020-01-21,6.932626724243164
2020-01-22,6.769230842590332
2020-01-23,6.8470377922058105
2020-01-24,6.808135032653809
2020-01-27,6.644739151000977
2020-01-28,6.582493305206299
2020-01-29,6.442439556121826
2020-01-30,6.551370620727539
2020-01-31,6.4891252517700195
2020-02-03,6.473563194274902
2020-02-04,6.7069854736328125
2020-02-05,6.738107204437256
2020-02-06,6.722546577453613
2020-02-07,6.53580904006958
2020-02-10,6.4346604347229
2020-02-11,6.504685878753662
2020-02-12,6.325729846954346
2020-02-13,6.333510398864746
2020-02-14,6.302387237548828
2020-02-17,6.302387237548828
2020-02-18,6.279045104980469
2020-02-19,6.170114517211914
2020-02-20,5.967816352844238
2020-02-21,5.9755964279174805
2020-02-24,5.851105213165283
2020-02-25,5.819982528686523
2020-02-26,5.905570030212402
2020-02-27,5.641025543212891
2020-02-28,5.251989841461182
2020-03-02,5.3531389236450195
2020-03-03,5.563218116760254
2020-03-04,5.788859844207764
2020-03-05,5.812201499938965
2020-03-06,5.695491313934326
2020-03-09,5.407603740692139
2020-03-10,5.345358371734619
2020-03-11,5.345358371734619
2020-03-12,4.909637451171875
2020-03-13,5.003006458282471
2020-03-16,4.738461971282959
2020-03-17,4.722899913787842
2020-03-18,4.5984086990356445
2020-03-19,4.419451713562012
2020-03-20,4.333863735198975
2020-03-23,4.209372043609619
2020-03-24,4.4661359786987305
2020-03-25,4.341644287109375
2020-03-26,4.4505743980407715
2020-03-27,4.310521602630615
2020-03-30,4.279398441314697
2020-03-31,4.372767448425293
2020-04-01,4.240494728088379
2020-04-02,4.232714653015137
2020-04-03,4.201591968536377
2020-04-06,4.333863735198975
2020-04-07,4.349425315856934
2020-04-08,4.388328552246094
2020-04-09,4.668435573577881
2020-04-10,4.75402307510376
2020-04-13,4.683996200561523
2020-04-14,4.699558258056641
2020-04-15,4.435013771057129
2020-04-16,4.411670684814453
2020-04-17,4.505040168762207
2020-04-20,4.505040168762207
2020-04-21,4.419451713562012
2020-04-22,4.42723274230957
2020-04-24,4.4661359786987305
2020-04-27,4.699558258056641
2020-04-28,4.606188774108887
2020-04-29,4.660654067993164
2020-04-30,4.582846641540527
2020-05-04,4.458355903625488
2020-05-05,4.4505743980407715
2020-05-06,4.435013771057129
2020-05-07,4.419451713562012
2020-05-08,4.333863735198975
2020-05-11,4.333863735198975
2020-05-12,4.364986896514893
2020-05-13,4.341644287109375
2020-05-14,4.224933624267578
2020-05-15,4.224933624267578
2020-05-18,4.2638373374938965
2020-05-20,4.287179946899414
2020-05-21,4.279398441314697
2020-05-22,4.287179946899414
2020-05-27,4.357205867767334
2020-05-28,4.403890609741211
2020-05-29,4.419451713562012
2020-06-01,4.512821197509766
2020-06-02,4.505040168762207
2020-06-03,4.551723957061768
2020-06-04,4.528381824493408
2020-06-05,4.606188774108887
2020-06-08,4.575066566467285
2020-06-09,4.551723957061768
2020-06-10,4.559505462646484
2020-06-11,4.512821197509766
2020-06-12,4.528381824493408
2020-06-15,4.4816975593566895
2020-06-16,4.551723957061768
2020-06-17,4.536162853240967
2020-06-18,4.536162853240967
2020-06-19,4.652873516082764
2020-06-22,4.79292631149292
2020-06-23,4.7695841789245605
2020-06-24,4.645092487335205
2020-06-25,4.590628147125244
2020-06-26,4.590628147125244
2020-06-29,4.75402307510376
2020-06-30,4.75402307510376
2020-07-01,4.629531383514404
2020-07-02,4.660654067993164
2020-07-03,4.590628147125244
2020-07-06,4.746242523193359
2020-07-07,4.683996200561523
2020-07-08,4.606188774108887
2020-07-09,4.512821197509766
2020-07-10,4.458355903625488
2020-07-13,4.551723957061768
2020-07-14,4.505040168762207
2020-07-16,4.551723957061768
2020-07-17,4.528381824493408
2020-07-20,4.520601272583008
